State,Date,Weekly COVID-19 Hospital Admissions
Virginia,May 30 2020,N/A
Virginia,May 23 2020,N/A
Virginia,May 16 2020,N/A
Virginia,May  9 2020,N/A
Virginia,May  2 2020,N/A
Virginia,Apr 25 2020,N/A
Virginia,Apr 18 2020,N/A
Virginia,Apr 11 2020,N/A
Virginia,Apr  4 2020,N/A
Virginia,Mar 28 2020,N/A
Virginia,Mar 21 2020,N/A
Virginia,Mar 14 2020,N/A
Virginia,Mar  7 2020,N/A
Virginia,Feb 29 2020,N/A
Virginia,Feb 22 2020,N/A
Virginia,Feb 15 2020,N/A
Virginia,Feb  8 2020,N/A
Virginia,Feb  1 2020,N/A
Virginia,Jan 25 2020,N/A
Virginia,Jan 18 2020,N/A
Virginia,Jan 11 2020,N/A
